Reservation_ID,Customer_ID,Vehicle_ID,Vehicle_Class,Booking_Status,Booking_TS,Pickup_TS,Return_TS,Odo_Start,Odo_End,Fuel_Level,Rate,Promo_Code,City,GPS_Lat,GPS_Lon,Speed,Payment,Driver_License,Damage_Flag,Notes
RES-00028,CUST-0193,car244,Toyota,No_Show,22-01-2025 05:20,2025/1/26 5:78,01/29/2025 04:20,"36,449",36490,50%,2000/day,DISC20,chennai,12.852611112853015,77.6209702044907,,UPI,DL-1306766749,Minor,Tyre pressure alert during trip
RES-00029,CUST-0842,CAR_513,Toyota,Cancelled,2025-02-21 19:12,2025-02-27 19:12,02/28/2025 17:12,"70,845",71221km,10%,1800 perday,NEW10,Mumbai,12.897485502444033,77.64122741030964,53,upi ,DL-1271296645,Minor,Customer reported minor scratch on door
RES-00030,CUST-0286, CAR-480 ,Hatchback,Completed,2025/4/11 8:75,20-04-2025 08:57,2025/4/21 9:60,"41,832",42297,25%,2000/day,WELCOME5,bangalore,12.912470958190955,77.55597923753133,109kmh,upi,DL-6988270361,Major,Interior cleaning required
RES-00031,CUST-0176,car-194,Sedan,Cancelled,16-03-2025 07:15,2025-03-18 07:15,03/20/2025 03:15,73248 km,73461,0.5,Rs1500/day,NEW10,Delhi,12.8714329765836,77.59747852882435,78,cash,DL-7106445145,Minor,Car returned in good condition
RES-00032,CUST-1247, CAR-148 ,Luxury,Cancelled,2025/2/2 5:74,2025-02-08 05:37,2025-02-08T14:37,"31,733",31651,25%,Rs1500/day,,delhi,12.930015986523252,77.55091177825632,,Credit Card,DL-2590760577,Minor,
RES-00033,CUST-1716,CAR-530 ,SUV,No_Show,2025/1/7 1:70,2025-01-11T01:36,01/13/2025 08:36,26068 km,26532,0.10,1500/day,WELCOME5,MUM,12.8836722128393,77.5674026336762,61 km/h,,DL-6117692866,Minor,
RES-00034,CUST-1622,car199,Hatchback,Cancelled,2025-05-28 17:04,2025/06/01 17:04,2025/06/04 12:04,72977 km,"73,277",50,"₹1,800/day",SAVE50,unknown,12.896541143049,77.57781313765096,,card,DL-2120309722,None,Tyre pressure alert during trip
RES-00035,CUST-1896,CAR_473,Creta,Cancelled,15-05-2025 03:34,2025-05-17 03:34,2025-05-18T12:34,"79,011","79,303",0.30,1500/day,,Chennai,12.881217350618256,77.64118259019845,fast, card,DL-9555197244,Major,Low fuel warning observed
RES-00036,CUST-0201,car-068,Toyota,No_Show,2025-03-12 21:44,03/16/2025 21:44,2025/03/18 16:44,"57,915",58048km,30%,,WELCOME5,Bombay,12.913147502088902,77.57357804798016,133,CARD,DL-3275271978,Major,Interior cleaning required
RES-00037,CUST-1055,car-087,Sedan,No_Show,01/10/2025 09:13,2025/1/14 9:76,16-01-2025 01:13,"23,606",23840km,100%,"₹1,800/day",DISC20,blr,12.905311503102169,77.61655040037327,124kmh,UPI,DL-9673595343,Major,Customer reported minor scratch on door
RES-00038,CUST-0059,car-596,EV,Completed,2025-02-08 03:02,10-02-2025 03:02,02/10/2025 22:02,"14,486",14551,100%,"₹1,800/day",SAVE50,bangalore,12.891112192543016,77.57628842010014,44 km/h, card,DL-7517159199,Minor,
RES-00039,CUST-0283,CAR198,EV,Cancelled,2025/4/4 3:78,2025/4/9 3:68,2025-04-10T07:22,62317 km,"62,492",NA,$20/day,SAVE50,New Delhi,12.929291363255352,77.61202870267509,,netbanking,DL-7573629892,None,Customer satisfied with ride
RES-00040,CUST-0145,CAR-452 ,Creta,Cancelled,05/01/2025 07:58,2025/05/02 07:58,02-05-2025 10:58,71960 km,72089,50%,₹1500/day,DISC20,BLR,12.923205552293274,77.57193549712466,,CARD,DL-6221833406,Minor,Interior cleaning required
RES-00041,CUST-1779,CAR_360,Luxury,Completed,2025/01/04 22:17,2025/1/13 22:62,2025/01/14 03:17,"33,775",33990km,100%,₹2500 per day,DISC20,MUM,12.866156082822737,77.56245221554346,,CASH,DL-3183193628,Minor,Car returned in good condition
RES-00042,CUST-1943,CAR-331,Toyota,Completed,2025-03-10 11:50,2025/3/15 11:69,2025/03/17 23:50,15706 km,"16,169",0.5,1500/day,DISC20,blr,12.923414861056523,77.64980111607025,41kmh,wallet,DL-6686118846,Minor,Customer reported minor scratch on door
RES-00043,CUST-1450,car-487,Creta,No_Show,2025/01/05 22:50,01/15/2025 22:50,15-01-2025 17:50,26789 km,27211,50%,Rs1500/day,SAVE50,blr,12.91830838012244,77.59248179180416,52,upi ,DL-9212155507,Major,Navigation system malfunction reported
RES-00044,CUST-1953,CAR 216,Suzuki,Cancelled,2025/04/30 18:22,2025-05-06T18:22,2025-05-08T12:22,29952 km,30304,0.25,₹2500 per day,NEW10,BLR,12.92594031321313,77.5668708044055,37kmh, card,DL-8711873037,Minor,Customer satisfied with ride
RES-00045,CUST-0339,CAR 389,Creta,Cancelled,06/06/2025 15:36,06/14/2025 15:36,2025/06/14 13:36,22784,"22,720",0.25,₹2500 per day,NEW10,Chennai,12.944875887491474,77.5915570235952,fast, card,DL-5580157666,Major,Navigation system malfunction reported
RES-00046,CUST-0356,CAR_110,Creta,Completed,2025/5/9 23:75,05/15/2025 23:07,05/15/2025 18:07,50849,"50,958",100%,1800 perday,NEW10,Chennai,12.870684935758536,77.62869990855278,30kmh, card,DL-6429812852,Minor,Customer reported minor scratch on door
RES-00047,CUST-1112,CAR-550,EV,Cancelled,12-01-2025 12:05,2025/1/18 12:72,2025/1/19 14:72,72914 km,72905km,50%,$20/day,NEW10,chennai,12.861518349909993,77.62320609541341,36kmh,Debit Card,DL-4589962642,Major,Customer reported minor scratch on door
RES-00048,CUST-1001,car-514,Creta,No_Show,2025/5/12 23:78,2025-05-20 23:50,2025-05-23 06:50,22867,23366,75%,"₹1,800/day",SAVE50,BLR,12.917036435471012,77.60235834624049,fast,Credit Card,DL-7333078753,Major,AC performance slightly low
RES-00049,CUST-0593,CAR-124 ,Sedan,Cancelled,2025/4/2 8:70,2025-04-06T08:14,06-04-2025 20:14,"54,077",54213,NA,1500 per day,,MUM,12.920268941659392,77.60043733180562,109,upi,DL-5138706453,None,
RES-00050,CUST-0193,CAR170,Creta,No_Show,07-01-2025 20:59,2025/01/14 20:59,16-01-2025 21:59,34433 km,34383km,100%,"₹1,800/day",WELCOME5,BLR,12.94376143151342,77.61931551096357,fast, card,DL-1306766749,None,Car returned in good condition
RES-00051,CUST-1670,CAR_589,Hatchback,Completed,2025-03-24 04:03,2025-03-27 04:03,03/29/2025 04:03,65507 km,65667,,1800 perday,WELCOME5,CHN,12.914318233621158,77.55504817253377,fast,CARD,DL-4220985257,Minor,Car returned in good condition
RES-00052,CUST-1966,car-582,Suzuki,Completed,2025-05-24T13:38,2025/05/27 13:38,29-05-2025 15:38,"59,699","59,910",0.75,"₹1,800/day",SAVE50,blr,12.884459841598117,77.5694159794398,,card,DL-1633453843,None,Interior cleaning required
RES-00053,CUST-1472,CAR_184,Sedan,Completed,2025/02/06 20:33,11-02-2025 20:33,2025/02/12 23:33,30292,30340,100%,₹2500 per day,SAVE50,Bengaluru,12.875544026692474,77.596399870243,fast,upi,DL-2522504653,None,Interior cleaning required
RES-00054,CUST-1634,CAR268,EV,Cancelled,02/13/2025 20:41,2025/02/17 20:41,02/18/2025 23:41,"38,328",38459km,10%,,WELCOME5,MUM,12.854145065254666,77.64746077550735,137kmh, card,DL-4671202284,Major,
RES-00055,CUST-1732,car-455,EV,Completed,2025-02-02T07:42,2025-02-03 07:42,2025/02/03 15:42,60228,"60,178",0.25,2000/day,SAVE50,bangalore,12.89830260268056,77.62060202768751,94kmh,upi,DL-3143966004,Minor,Customer reported minor scratch on door
RES-00056,CUST-0500,car077,Creta,No_Show,2025/4/19 20:71,2025/04/22 20:20,22-04-2025 16:20,"33,288","33,202",100%,₹ 2000 / day,SAVE50,mumbai,12.902713152493618,77.60865804519162,,Wallet,DL-6384893303,Minor,Customer reported minor scratch on door
RES-00057,CUST-1080, CAR-471 ,Creta,Cancelled,02/19/2025 14:20,2025-02-20T14:20,2025/02/20 21:20,12634 km,12589,0.25,,,MUM,12.86409642263749,77.55789504439772,122kmh,netbanking,DL-6484743056,Major,Tyre pressure alert during trip
RES-00058,CUST-0937,CAR_033,SUV,Completed,06/20/2025 00:03,2025/6/30 0:72,2025/07/01 22:03,"68,669",68692km,30%,1500 per day,,Bombay,12.863322732627303,77.58942787384296,82,UPI,DL-6799087472,Major,Customer reported minor scratch on door
RES-00059,CUST-0773,CAR-460,Sedan,No_Show,2025/02/14 17:57,2025/2/18 17:75,2025/02/19 00:57,54830,54920,10%,,WELCOME5,blr,12.947971773401004,77.55712799557354,fast,upi,DL-7971432644,Minor,Low fuel warning observed
RES-00060,CUST-0282,CAR 588,Toyota,Cancelled,2025/03/12 11:36,2025-03-18 11:36,2025/3/18 23:62,54906 km,55107km,75,1500/day,,unknown,12.913996931519495,77.64176783168611,fast,CASH,DL-1935010168,Major,
RES-00061,CUST-1896,CAR-517,Hatchback,Completed,2025-06-13T22:40,2025/6/20 22:63,2025/6/22 2:78,"36,726",37220km,0.30,₹ 2000 / day,DISC20,unknown,12.905891632293308,77.61454285953667,,CARD,DL-9555197244,Major,Car returned in good condition
RES-00062,CUST-1390,CAR-600 ,Toyota,Completed,2025/06/04 15:56,2025/06/08 15:56,2025-06-10 18:56,48156,48457km,0.5,USD 25/day,DISC20,mumbai,12.871603978184568,77.5988058482788,fast,CASH,DL-7689616014,Major,
RES-00063,CUST-1651,CAR 565,Toyota,Completed,2025/04/15 11:37,2025/4/24 11:64,2025/4/26 23:64,28663 km,28739,0.10,₹ 2000 / day,WELCOME5,chennai,12.933332566608282,77.61298838300297,24 km/h,cash,DL-7511087936,None,Vehicle returned late due to traffic
RES-00064,CUST-1156,CAR-205 ,Luxury,Completed,2025-01-12T18:48,2025-01-15T18:48,2025-01-16T15:48,"53,436",53455km,0.30,$20/day,,delhi,12.914722144258427,77.61610380764414,,card,DL-7579965617,Minor,Low fuel warning observed
RES-00065,CUST-1844,CAR-521,Toyota,Completed,25-05-2025 22:21,27-05-2025 22:21,2025/05/29 03:21,"65,390","65,501",100%,USD 25/day,NEW10,Bengaluru,12.8920667892283,77.59014071327528,120 km/h,upi ,DL-2457213039,Major,
RES-00066,CUST-0961,car-276,EV,No_Show,2025/4/25 8:62,2025/5/5 8:67,2025/05/05 12:37,33014 km,33412km,1.0,1800 perday,DISC20,New Delhi,12.940651055851506,77.56970029437696,94,Debit Card,DL-1393235721,Minor,
RES-00067,CUST-0604,CAR 136,Sedan,No_Show,2025-04-19 00:38,2025-04-23T00:38,23-04-2025 09:38,"41,093",41273km,75%,1800 perday,SAVE50,New Delhi,12.893652211338724,77.58983703499834,,card,DL-4955847946,Major,Interior cleaning required
RES-00068,CUST-0781,CAR_360,Luxury,No_Show,2025-01-10 20:52,2025/1/12 20:74,2025-01-15 19:52,77850,"78,218",75,USD 25/day,WELCOME5,N/A,12.875281280076475,77.6003906361826,,-,DL-3706646672,Minor,Tyre pressure alert during trip
RES-00069,CUST-0764, CAR-430 ,Hatchback,Cancelled,2025-02-28 11:54,2025-03-08 11:54,2025-03-09 22:54,62936 km,62946,25%,,DISC20,delhi,12.917490926843723,77.60369275440861,49 km/h,upi,DL-4225121605,Minor,Tyre pressure alert during trip
RES-00070,CUST-1451,car120,Toyota,Cancelled,2025/05/19 01:04,2025-05-26 01:04,2025-05-28T08:04,48992,49140km,25%,2000/day,NEW10,mumbai,12.894739897563136,77.60744392505629,137, card,DL-1649084773,Major,Tyre pressure alert during trip
RES-00071,CUST-0547,CAR 136,Sedan,Completed,19-05-2025 18:02,05/22/2025 18:02,2025-05-23T06:02,60644 km,"60,722",50,1500 per day,NEW10,bangalore,12.937216464477007,77.64421638249246,,,DL-9970267610,Major,Car returned in good condition
RES-00072,CUST-1440,car-225,Suzuki,Completed,2025-01-12T01:30,2025-01-20 01:30,2025-01-21 16:30,59932,"60,007",10%,USD 25/day,WELCOME5,Bombay,12.855364280096277,77.60170319257011,83kmh,upi,DL-1161227414,Major,AC performance slightly low
RES-00073,CUST-0671,CAR_232,EV,Cancelled,05/27/2025 06:04,2025-06-01 06:04,2025/06/01 23:04,34618 km,34697,75%,₹2500 per day,SAVE50,New Delhi,12.863074394386723,77.55069202598216,fast,CASH,DL-9358598269,None,Interior cleaning required
RES-00074,CUST-0649,car257,Hatchback,Completed,2025/01/25 23:37,2025/01/31 23:37,01-02-2025 02:37,10709 km,"10,690",NA,₹1500/day,SAVE50,MUM,12.88289012558085,77.55915191198771,33kmh,-,DL-8662857309,Minor,Customer requested early pickup
RES-00075,CUST-0140,CAR 400,Suzuki,Cancelled,05/30/2025 14:38,2025/06/04 14:38,2025-06-05 07:38,16239 km,"16,697",0.75,₹1500/day,DISC20,New Delhi,12.916097274056158,77.55534344326307,,-,DL-2284369701,Major,Tyre pressure alert during trip
RES-00076,CUST-0755,CAR-524,Luxury,No_Show,2025/01/03 07:39,08-01-2025 07:39,2025/1/9 7:78,"29,137",29098,,2000/day,SAVE50,delhi,12.916779619548093,77.64290386575324,42 km/h,,DL-2133198946,Major,Tyre pressure alert during trip
RES-00077,CUST-0579,CAR_266,Luxury,No_Show,2025/6/20 3:60,2025/06/28 03:24,29-06-2025 02:24,16667 km,"16,846",0.10,₹ 2000 / day,,New Delhi,12.859117353147397,77.57922901221728,119kmh,UPI,DL-8805738359,None,Interior cleaning required
RES-00078,CUST-1966,CAR 400,Suzuki,No_Show,02/13/2025 01:51,02/20/2025 01:51,2025/2/22 11:64,"69,834","69,964",30%,1500 per day,SAVE50,Bengaluru,12.886865118205856,77.55412989086226,fast,-,DL-1633453843,None,Interior cleaning required
RES-00079,CUST-1187,car260,Creta,No_Show,2025/1/18 13:73,2025/01/28 13:07,28-01-2025 18:07,46342,"46,385",10%,2000/day,SAVE50,MUM,12.866839612327619,77.59816993339588,fast,upi ,DL-9635136907,Minor,Customer requested early pickup
RES-00080,CUST-1374,CAR-218 ,Suzuki,Completed,2025-02-21 10:44,2025-02-23T10:44,2025/02/25 12:44,"34,914","35,151",0.5,USD 25/day,SAVE50,Bengaluru,12.927544149416413,77.60355743620913,100,upi ,DL-2359071562,Major,
RES-00081,CUST-0797,CAR_221,Luxury,Cancelled,2025/5/9 5:73,2025/05/15 05:23,2025-05-15T12:23,"69,826",69768,25%,₹ 2000 / day,SAVE50,Bombay,12.938743735498868,77.55533559794122,44kmh,,DL-2477823335,None,Navigation system malfunction reported
RES-00082,CUST-0843,CAR177,Suzuki,Completed,2025/3/3 4:66,2025-03-09T04:39,2025-03-09T07:39,48337 km,"48,336",,$20/day,WELCOME5,MUM,12.884667478036722,77.5501319629005,,card,DL-3434942147,Minor,Customer satisfied with ride
RES-00083,CUST-0439,car257,Hatchback,Cancelled,2025/01/30 16:27,2025-02-01T16:27,02-02-2025 05:27,28359,28607km,NA,$20/day,SAVE50,Delhi,12.883288269708386,77.59752541076328,103kmh,CASH,DL-5492203015,None,Interior cleaning required
RES-00084,CUST-0156,car008,Hatchback,Completed,2025/1/16 22:60,01/24/2025 22:35,01/26/2025 05:35,68302,"68,538",25%,1500 per day,WELCOME5,BLR,12.880962650675723,77.60005753755237,,cash,DL-3523656065,Minor,Car returned in good condition
RES-00085,CUST-1603,CAR-146,Toyota,Cancelled,05/01/2025 17:18,10-05-2025 17:18,2025/05/13 13:18,"22,164","22,422",75%,,DISC20,chennai,12.949156103227331,77.63013054575295,67,upi ,DL-7336118245,Minor,Customer satisfied with ride
RES-00086,CUST-1609,car395,SUV,Completed,2025-01-19T14:26,2025/1/28 14:64,2025/01/31 14:26,32776 km,"32,813",75%,₹1500/day,NEW10,bangalore,12.860797229032995,77.5759268828658,100,UPI,DL-5345508428,Major,Customer requested early pickup
RES-00087,CUST-0751,CAR_490,EV,Cancelled,2025-02-13T12:24,2025-02-17T12:24,2025/2/19 9:74,17889,18272km,25%,₹ 2000 / day,,chennai,12.933878857233026,77.60241304471302,fast,upi ,DL-5948956428,Minor,AC performance slightly low
RES-00088,CUST-0218, CAR-169 ,SUV,No_Show,2025/3/3 14:72,05-03-2025 14:28,2025/03/06 17:28,"65,023",65467,50%,2000/day,,unknown,12.922783729731643,77.63468100730564,128,Debit Card,DL-3691967965,None,AC performance slightly low
RES-00089,CUST-1686,car-028,Hatchback,No_Show,2025/04/30 14:20,2025/5/2 14:79,2025/05/05 09:20,27267,27302km,,1500 per day,NEW10,chennai,12.900046556446394,77.6258335008605,129,UPI,DL-3493836500,Minor,Interior cleaning required
RES-00090,CUST-1956,car-549,Suzuki,Completed,2025-01-03 15:15,2025-01-08 15:15,2025/1/9 4:65,55775,55949,30%,1500/day,,BLR,12.856040106920284,77.5615103763742,,cash,DL-1635917665,Minor,Customer reported minor scratch on door
RES-00091,CUST-0258,CAR_439,Suzuki,Completed,02/25/2025 15:12,2025/3/6 15:61,2025-03-07T22:12,27582,27748,50%,1500 per day,NEW10,N/A,12.94688638173587,77.64892821746035,94,upi,DL-8072737043,Major,Customer reported minor scratch on door
RES-00092,CUST-1331,CAR-256,Creta,Cancelled,2025-06-17 16:06,2025-06-23T16:06,26-06-2025 05:06,31270,"31,499",0.75,USD 25/day,DISC20,Bengaluru,12.928932050421269,77.58077603042429,,upi ,DL-2118984719,Minor,Vehicle returned late due to traffic
RES-00093,CUST-0847,car077,Creta,Completed,06/20/2025 16:14,2025-06-22T16:14,2025/06/23 03:14,21393 km,21348,1.0,₹1500/day,,chennai,12.92507485966685,77.57963937850118,106,wallet,DL-4674019820,Major,AC performance slightly low
RES-00094,CUST-1482,car403,Sedan,Cancelled,2025/02/16 07:00,2025/2/19 7:76,02/21/2025 03:00,15556 km,"15,915",75,1500/day,,DELHI,12.857512774456659,77.62147609717707,66kmh,,DL-2023834163,Minor,AC performance slightly low
RES-00095,CUST-0755,CAR_041,Toyota,Completed,2025/4/10 9:62,19-04-2025 09:27,04/19/2025 15:27,"25,623","26,014",25%,₹ 2000 / day,,Chennai,12.908946708877862,77.58888493221488,fast,upi,DL-2133198946,None,Vehicle returned late due to traffic
RES-00096,CUST-0091,CAR 588,Toyota,Completed,06-06-2025 07:20,2025-06-16T07:20,2025-06-19T07:20,"34,852",34756,0.5,2000/day,WELCOME5,MUM,12.945105545648136,77.64499687396966,,UPI,DL-8322422329,None,
RES-00097,CUST-0039, CAR-164 ,Hatchback,No_Show,2025-05-12T16:30,13-05-2025 16:30,2025/5/13 21:60,13113 km,"13,334",,1500/day,NEW10,blr,12.930307737896866,77.61695757606478,25kmh,Debit Card,DL-8456825320,None,Customer reported minor scratch on door
RES-00098,CUST-0997, CAR-374 ,EV,Cancelled,2025-05-02T10:43,2025-05-03 10:43,04-05-2025 22:43,70959 km,"71,078",0.75,,SAVE50,MUM,12.914293350837253,77.62515904437825,fast,,DL-5558218985,None,Customer requested early pickup
RES-00099,CUST-1049,CAR-561,Sedan,Completed,2025-06-10T15:11,06/17/2025 15:11,18-06-2025 18:11,"50,516",50485km,25%,2000/day,SAVE50,New Delhi,12.906196303519566,77.60337450358065,,upi ,DL-2199328159,Minor,Low fuel warning observed
RES-00100,CUST-0854,CAR-075,Hatchback,Completed,2025-04-13T16:59,2025-04-23T16:59,2025/04/24 10:59,55658,55911,1.0,₹1500/day,SAVE50,CHN,12.904887579705365,77.62184573341585,,upi,DL-4191314460,None,AC performance slightly low
RES-00101,CUST-0467,CAR111,Creta,Completed,03/03/2025 21:35,2025-03-05T21:35,2025-03-05T18:35,"59,503",59429km,10%,1500 per day,SAVE50,blr,12.924792390743509,77.60300506092409,75 km/h,,DL-7780146934,Minor,Car returned in good condition
RES-00102,CUST-1190,CAR577,Hatchback,Cancelled,2025/2/18 19:62,2025-02-19T19:01,02/22/2025 03:01,26276,26616km,50%,"₹1,800/day",SAVE50,DELHI,12.945617181276045,77.58412500545974,,CASH,DL-6729245588,Minor,Navigation system malfunction reported
RES-00103,CUST-0193,CAR046,Hatchback,Completed,2025-02-16 14:52,2025-02-25 14:52,28-02-2025 10:52,25578 km,"25,993",75%,2000/day,NEW10,CHN,12.944411540753324,77.55678085036517,,card,DL-1306766749,None,Customer satisfied with ride
